,participant_id,created_date,anonymised_text,admiration,amusement,anger,annoyance,anticipation,approval,confusion,curiosity,desire,disapproval,disgust,disappointed,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realisation,remorse,sadness,surprise,trust
0,participant_0,2022-10-24 11:20:12+01:00,(user-189) (user-733) โอ้ยกูเขิลหยังเนี่ยยยยยยยยย,,,,,,,0.0,,,,,,,,,,0.5,,,,,,,,0.0,
1,participant_0,2022-10-24 12:43:02+01:00,(user-190) ใครรร,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,
2,participant_0,2022-10-24 11:41:31+01:00,(user-189) (user-730) โอ้ยตรงเกินนนนนน,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.6041666666666666,
3,participant_0,2022-10-24 11:41:07+01:00,มันจะเกินปุยมุ้ยคลั่งรักหนักมาก (url-1238)   #MewOnTheAlarm,,,,,,,,,,,,,,,,,0.4166666666666667,,,,,,,,0.0,
4,participant_0,2022-10-24 11:40:07+01:00,(user-731) (user-189) คุกๆๆๆๆๆ,,,,,,,,,,,0.0,0.0,,0.4791666666666667,,,,,,,,,,,,
5,participant_0,2022-10-24 11:34:22+01:00,โทรไปร้องไห้กับแฟนเเล้วบอกแฟนว่าอกหัก😭#MewOnTheAlarm,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.5208333333333334,0.0,
6,participant_0,2022-10-29 13:30:49+01:00,31นี้มาเติมไฟให้มิวกัน🥺💟,,,,,0.5208333333333334,,,,,,,,,,,,0.5208333333333334,,,,,,,,0.0,
7,participant_0,2022-10-24 11:25:22+01:00,ทำไมแฟนฉันไม่เห็นคลั่งรักฉันแบบนี้บ้าง!!!!!! #MewOnTheAlarm,,,0.0,,0.0,,0.5208333333333334,,,,,0.0,,,,,,,,,,,,0.0,0.0,
8,participant_0,2022-11-19 09:55:54+00:00,เกิดไรขึ้น?,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.5416666666666666,
9,participant_0,2022-11-19 11:11:10+00:00,รักที่สุดเยยยยยยยยยย (user-189) (url-1235),,,,,,,,,,,,,,,,,0.5208333333333334,,,,,,,,,
10,participant_0,2023-02-19 04:09:38+00:00,ขอ 1 สิทธิที่อยากไปจริงๆค่ะ 🥹😭  (user-189) #MewSuppasit  #มิวศุภศิษฏ์,,,,,0.4375,,,,,,,,,,,,,,,,,,,0.0,,0.0
11,participant_0,2023-02-19 04:00:58+00:00,บุญมีแต่กำบังของจริงกูเนี่ย55555  (user-189) #MewSuppasit  #มิวศุภศิษฏ์,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.4791666666666667,0.4583333333333333,
12,participant_0,2023-02-17 16:18:25+00:00,เอาไว้ฟังตอนวันเกิด555555  #มิวศุภศิษฏ์ (user-189)  #MewSuppasit (url-1231),,,,,0.4583333333333333,,,,,,,,,,,,0.6666666666666666,,,,,,,,,
13,participant_0,2023-02-17 16:16:40+00:00,(user-190) (user-189) อยากได้เหมือนกันมันฮีลใจมากกกกกกก,,,,,0.4791666666666667,,,,,,,,,,,,0.6458333333333334,,,,,,,,0.0,
14,participant_0,2023-02-17 09:56:12+00:00,(user-723) เอ้าแหนะรู้เลยยยยยแม๊,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.375,0.0
15,participant_0,2023-02-17 09:55:30+00:00,ติดสอบบบบบบ กูจะร้องงง😭,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,0.4583333333333333,,
16,participant_0,2023-02-17 02:22:23+00:00,(user-190) โมโหอ่ะะะะ,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
17,participant_0,2023-02-16 17:29:41+00:00,ตัวแทนหมู่บ้านเท่ากับตัวแทนขึ้นศาลด้วยป่าววว ถ้าโดยเเล้วมาบอกว่าไม่ได้ตั้งใจนี่แปลกนะน้ำเสียงทั้งกระเเทก เขียนสคลิปด้วย ส่งสารเท็จอีกโอ้ยน้อ อะไร๊เป็นไรค๊าาาาาา,,,0.4791666666666667,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,
18,participant_0,2023-02-16 15:43:29+00:00,เป็นไงบ้างงงอยากกอดพี่จัง🥰😘  #มิวศุภศิษฏ์ (user-189)  #MewSuppasit (url-1232),,,,,0.0,,0.0,,,,,,,,,,0.4166666666666667,,,,,,,,0.0,
19,participant_0,2022-11-19 09:58:22+00:00,อยู่ข้างเธอเสมอนะคั้บ🥹💗 (user-189) (url-1236),,,,,0.0,,,,,,,,,,,,0.5625,0.0,,,,,,,,0.6041666666666666
20,participant_0,2023-02-16 10:45:32+00:00,(user-723) เข้าไม่ทันนนน😭😭😭,,,,,,,,,,,,0.0,,,,,,,,,,,,0.6041666666666666,0.0,
21,participant_0,2023-02-15 19:00:18+00:00,คนด่าบางคนก็ดูดีๆด้วยน้าาาาพี่ๆ คนบางคนก้เเค่อยากไหลตามน้ำ งงๆๆๆๆ,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,
22,participant_0,2023-02-15 13:47:35+00:00,หนูรักพี่มิวเสมอ รักมากๆๆๆๆ💗💐,,,,,0.0,,,,,,,,,,,,0.5625,,,,,,,,,0.0
23,participant_0,2023-02-09 01:53:05+00:00,หาเพื่อน in terfan ทำงานส่งครู🥺💫💐,,,,,0.6041666666666666,,,,,,,,,,,,,,,,,,,,,
24,participant_0,2023-01-17 07:21:59+00:00,หายเหนื่อยเเล้วจริงๆ แต่ต้องเตรียมตัวสัมต่อ🥺💫💐✨ พี่มิวหนูจะทำสำเร็จเเล้วหนูจะไดเกลับมาหาพี่เเล้ววส (url-1234),,,,,0.4583333333333333,,,,,,,,,,,,0.4166666666666667,,,,,,,0.0,,0.0
25,participant_0,2023-01-11 02:43:23+00:00,จะร้องพอมีเดฟนมีตก้การเงินไม่สนับสนุน😭,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.5625,,
26,participant_0,2022-12-28 08:50:10+00:00,มข เทฉันรอบพอร์ต หมดไฟทำของมหาลัยอื่นเเล้ววววว😭,,,,0.0,,,0.5416666666666666,,,,,0.0,,0.0,,,,,,,,,,0.4791666666666667,,
27,participant_0,2022-11-29 04:48:49+00:00,อายุ18แล้วฟาดเคราะห์เเล้วเช่นกัน🥹,,,,,,,,,,,,,,0.5833333333333334,,,,,,,,,,0.5625,0.0,
28,participant_0,2022-10-24 12:51:49+01:00,(user-729) ร้องไห้ละ,,,,,,,,,,,,0.0,,,,,,,,,,,,0.5208333333333334,,
29,participant_0,2022-11-24 08:07:50+00:00,มิวเลี่ยนมีใครรับทำพอร์ตไหมค้าบบบบบบบ,,,,,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,0.0
30,participant_0,2022-10-25 02:52:38+01:00,ไม่ให้ไปไหนหรอกน่ะ!!!!!  (user-728),,,0.3333333333333333,,0.0,,,,,,,,,,,,,,,,,,,,,0.0
31,participant_0,2022-10-25 16:24:09+01:00,ภูมิใจในตัวอิงฟ้ามากจริงเล็กแต่พริกขี้หนูจริงงงง,,,,,0.0,,,,,,,,,,,,0.5416666666666666,,,,,,,,0.0,0.0
32,participant_0,2023-03-15 02:39:41+00:00,(user-717) (user-189) จะกี่อารมณ์มิวเลี่ยนส์ก้ผ่านมันมาหมดเเล้วฮ่ะ🤣  #มิวเลียนส์5ปีแล้วจ้า (user-189),,,,,0.0,,,,,,,,,,,,0.3958333333333333,,,,,,,,,0.0
33,participant_0,2023-02-19 12:22:15+00:00,โชคชะตายเล่นตลกกะกูมากกูจะร้องงงงงงงงง🥹😭,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,0.5416666666666666,0.0,
34,participant_0,2023-03-15 02:38:29+00:00,5ขวบเเล้ว ขอบคุณทุกคนที่ยังอยู่ตรงนี้อยู่ข้างไปพ่อหมีเสมอ รักพี่มิวน้าาาาา🥺💐  #มิวเลียนส์5ปีแล้วจ้า (user-189) (url-1222),,,,,0.0,,,,,,,,,,,,0.5416666666666666,,,,,,,,0.0,0.5208333333333334
35,participant_0,2023-03-14 07:18:27+00:00,(user-190) ดีเเล้วปลอยภัยใช่ไหมไม่เจ็บใช่ป่าววว,,,,,0.4375,,,,,,,,,,,,,,,,,,,,0.0,0.0
36,participant_0,2023-03-14 07:17:14+00:00,(user-190) ทำไมมันลงไปแบบน้านนนน,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.4791666666666667,
37,participant_0,2023-03-14 04:42:31+00:00,ตั้งเเต่ดูมากูยังไม่เห็นบทไหนเหมือนตอนไปเล่นช่องหลายสีเลยนอกจากอบอุ่น🤦‍♀️,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,
38,participant_0,2023-03-09 05:16:47+00:00,แกหวังยอดฟอลเรียกร้องความสงสารทำเป้นเก่งเนอะป้า,,,,,0.4375,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,
39,participant_0,2023-03-10 04:27:13+00:00,(user-190) ตอบเเล้ววววว,,,,,0.0,,,,,,,,,,,,0.4791666666666667,,,,,,,,,0.0
40,participant_0,2023-03-10 04:19:32+00:00,มึงกูไม่เห้นสตอรี่พี่มิวพี่มิวบล็อคกูปะเนี่ยเพื่อนเเคปมาให้ดูแต่กูดูไม่ได้,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,0.5,
